name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;588;0;493;3173;1072;3173;1096;0
header;256;166;256;197;1876;197;1876;166
A;1054;232;1054;260;1078;260;1078;232
A;864;544;864;544;865;544;865;544
B;1055;903;1055;930;1075;930;1075;903
A;677;983;677;994;684;994;684;983
B;718;1110;718;1127;732;1127;732;1110
C;1054;1569;1054;1598;1074;1598;1074;1569
A;856;2156;856;2156;856;2156;856;2156
D;1061;2238;1061;2265;1083;2265;1083;2238
A;598;2323;598;2330;605;2330;605;2323
A;605;2925;605;2925;605;2925;605;2925
